입찰공고명,공고기관명,기초금액,개찰일자,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
24년 음식물 쓰레기 처리 용역,제3697부대,97058820,2024-01-26,82999160,85.025,2024-01-26,부자농장,김승규,김승규,경기도 연천군 미산면 동이리274-1
24년 VoIP교환기 유지보수용역,국군의무사령부,44959009,2024-01-26,39643677,87.797,2024-01-29,주식회사 진엔지니어링,정진석,이상만,경기도 광명시 장절로3번길15-0 (노온사동)
CCTV시스템 유지보수 용역,제9965부대,42191380,2024-01-26,37085000,87.773,2024-01-26,(주)로드반,김형준,허효선,"경기도 성남시 분당구 쇳골로71 (금곡동,반스타운)"
2024년 방위사업청 종합홍보,방위사업청(운영지원과),0,2024-01-26,230000000,92,2024-04-19,주식회사 디앤씨컴퍼니,김준성,최은지,"대전광역시 동구 선화로187,3층 (삼성동)"
고속상륙정(LSF-II) Batch-II 사업분석,방위사업청(운영지원과),0,2024-01-26,62964000,89.948,2024-04-29,한성대학교 산학협력단,이정훈,심지민,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
폐주물사,해군군수사령부,107843,2024-01-26,91130,84.501,2024-01-26,남양산업,강양수,박미옥,경상남도 창원시 진해구 남영로 534-5()
24-항-09 군 숙소 청소용역,제5738부대,127000000,2024-01-26,111901610,87.996,2024-01-26,주식회사 티아이컨설팅,장애정,장애정,"서울특별시 광진구 천호대로604, 2층 (능동, 진현빌딩)"
24-B-폐기물(폐합성수지  폐목재) 처리용역(도서지역),제9196부대,271602940,2024-01-26,219932230,80.536,2024-01-26,주식회사 신승에너지,이성욱,김다운,"경기도 화성시 남양읍 매바위로570-10, 1층"
24-B-폐기물(일반폐기물)처리용역(도서지역),제9196부대,651534310,2024-01-26,531651000,80.761,2024-01-26,인성코퍼레이션 주식회사,추성호,남홍욱,"인천광역시 중구 서해대로93번길14-1, 3층(항동7가)"
’24년 백령도·대청도 부식류 민간위탁배송 용역,제9196부대,697308670,2024-01-26,690000000,98.03,2024-01-26,주식회사 옹진물산,곽창열,임태윤,인천광역시 옹진군 백령면 사곶로122번길11-0
24-B-오.폐수처리시설 위탁관리 용역(도서지역),제9196부대,157487030,2024-01-26,139656000,88.383,2024-01-26,주식회사 한길자연환경,강진무,강태우,"인천광역시 계양구 계산천서로44, 청구빌딩 4층"
(24G007-A )의료기관 세탁 위탁처리 용역,국군재정관리단,385638090,2024-01-26,330304516,86.007,2024-01-26,주식회사수진기업,지은영,조신환,경기도 화성시 양감면 사격장길88-28
(23F071-G)24년 스마트 훈련병관리체계 유지보수용역,국군재정관리단,109633788,2024-01-26,96784225,87.776,2024-01-26,씨지에스아이티(주),최규식,최규식,"서울특별시 금천구 가산디지털1로1-0 (가산동, 더루벤스밸리) 1208호"
음식물 쓰레기,육군기계화학교,43610000,2024-01-29,36896200,84.572,2024-01-29,다복농장,곽선우,곽선우,전라남도 무안군 현경면 성자동길79-36
24년 음식물류 폐기물 처리 용역,제1968부대,585858900,2024-01-29,478787320,80.52,2024-01-29,주식회사 원진축산,김진각,김진각,경기도 이천시 장호원읍 나래천로509번길234-92
2024년 방위사업청 온라인 홍보,방위사업청(운영지원과),0,2024-01-29,314400000,92.47,2024-04-02,주식회사 에이아이웹 (AIWEB),임성기,조성호,"서울특별시 금천구 가산디지털1로 168, B동 312호(가산동, 우림라이언스1차)"
24년 음식물폐기물 처리용역,공군제16전투비행단,112286200,2024-01-30,94761620,84.879,2024-01-30,제1범수농장,조환로,조환로,경상북도 안동시 일직면 일직점곡로101-1
24년 항공관제용 U/VHF 무전기 외주정비 용역,육군제8971부대,67181372,2024-01-30,59146000,89.239,2024-01-30,한양무선통신,최영복,최영복,경상남도 창원시 의창구 팔용로 399()
24년 과학화경계시스템 외주정비 용역(임실),육군 탄약지원사령부,176500000,2024-01-30,155176134,87.76,2024-01-31,기대전기통신주식회사,김동일,김동일,부산광역시 기장군 장안읍 길천길33-1
